Category,Number,Analytical,Confident,Tentative,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Range
0,0,0.409,0.056,0.663,0.715,0.647,0.467,0.393,0.212
0,1,0.689,0.942,0.159,0.562,0.505,0.128,0.284,0.258
0,2,0.903,0.0,0.957,0.548,0.308,0.497,0.518,0.365
0,3,0.338,0.559,0.126,0.39,0.659,0.822,0.69,0.078
0,4,0.314,0.19,0.903,0.588,0.3,0.626,0.469,0.289
0,5,0.712,0.913,0.096,0.477,0.411,0.551,0.478,0.238
0,6,0.052,0.941,0.209,0.677,0.628,0.863,0.724,0.045
0,7,0.773,0.068,0.201,0.576,0.629,0.166,0.399,0.208
0,8,0.425,0.165,0.885,0.197,0.436,0.948,0.942,0.354
0,9,0.445,0.534,0.39,0.328,0.491,0.768,0.685,0.032
0,10,0.929,0.237,0.943,0.606,0.133,0.639,0.395,0.49
0,11,0.494,0.846,0.17,0.539,0.431,0.711,0.492,0.595
0,12,0.0,0.0,0.0,0.79,0.757,0.412,0.392,0.107
0,13,0.297,0.0,0.326,0.711,0.82,0.328,0.488,0.028
0,14,0.279,0.124,0.43,0.347,0.612,0.818,0.732,0.038
0,15,0.551,0.0,0.937,0.806,0.468,0.461,0.273,0.322
0,16,0.0,0.0,0.0,0.623,0.77,0.553,0.534,0.13
0,17,0.0,0.0,0.0,0.928,0.694,0.064,0.004,0.384
0,18,0.907,0.0,0.957,0.542,0.305,0.504,0.532,0.365
0,19,0.248,0.0,0.687,0.347,0.92,0.842,0.886,0.124
0,20,0.155,0.0,0.237,0.128,0.153,0.984,0.903,0.036
0,21,0.526,0.216,0.46,0.246,0.422,0.82,0.677,0.084
0,22,0.411,0.484,0.865,0.472,0.379,0.423,0.52,0.501
0,23,0.235,0.597,0.573,0.537,0.636,0.657,0.439,0.147
0,24,0.483,0.948,0.617,0.386,0.477,0.706,0.671,0.251
0,25,0.628,0.0,0.476,0.724,0.841,0.118,0.273,0.114
0,26,0.514,0.466,0.333,0.637,0.63,0.357,0.314,0.257
0,27,0.721,0.0,0.793,0.47,0.232,0.689,0.442,0.341
0,28,0.211,0.903,0.807,0.493,0.449,0.733,0.484,0.274
0,29,0.618,0.0,0.836,0.064,0.404,0.854,0.911,0.17
0,30,0.39,0.644,0.505,0.287,0.448,0.892,0.833,0.253
0,31,0.378,0.723,0.215,0.467,0.859,0.711,0.652,0.034
0,32,0.267,0.069,0.295,0.165,0.25,0.909,0.843,0.088
0,33,0.992,0.0,0.95,0.254,0.069,0.908,0.677,0.631
0,34,0.208,0.114,0.523,0.584,0.394,0.75,0.687,0.346
0,35,0.579,0.648,0.831,0.252,0.395,0.786,0.767,0.599
0,36,0.329,0.421,0.781,0.075,0.304,0.975,0.933,0.175
0,37,0.189,0.0,0.938,0.778,0.781,0.109,0.264,0.34
0,38,0.275,0.363,0.466,0.32,0.64,0.815,0.593,0.038
